Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
Bartonellosis,"Azithromycin (500 mg day 1, 250 mg days 25), doxycycline (100 mg).","Serology (Bartonella henselae), PCR, biopsy if needed.","Fever, lymph node swelling, rash, fatigue (cat scratch).","Azithromycin (500 milligrams day 1, 250 milligrams days 25), doxycycline (100 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Fibromuscular Dysplasia,"Angioplasty, lisinopril (10 mg daily), aspirin (81 mg daily).","Angiography (stringofbeads), CTA/MRA, Doppler.","Hypertension, headache, pulsatile tinnitus, stroke risk.","Angioplasty, lisinopril (10 milligrams daily), aspirin (81 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cradle Cap,"Baby shampoo, mineral oil, hydrocortisone (1% cream) if severe.","Clinical exam, rule out fungal infection.","Scaly scalp, greasy patches, mild redness (infants).","Baby shampoo, mineral oil, hydrocortisone (1% cream) if severe. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Nasopharyngeal Cancer,"Radiation, cisplatin (100 mg/m² IV), surgery if localized.","Nasopharyngoscopy with biopsy, EBV titers, PETCT.","Nasal congestion, neck mass, hearing loss, headache.","Radiation, cisplatin (100 milligrams/m² intravenous), surgery if localized. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Glucose Screen for Gestational Diabetes,"Diet control, insulin (variable dosing), metformin (500 mg).","1hour GCT (>140 mg/dL), 3hour OGTT confirmation.","Often asymptomatic, thirst, frequent urination (pregnancy).","Diet control, insulin (variable dosing), metformin (500 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
NonHodgkin Lymphoma,"Rituximab (375 mg/m² IV), CHOP regimen, stem cell transplant.","Lymph node biopsy, PETCT, bone marrow aspirate.","Swollen lymph nodes, fever, night sweats, weight loss.","Rituximab (375 milligrams/m² intravenous), CHOP regimen, stem cell transplant. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Granulomatosis with Polyangiitis,"Cyclophosphamide (2 mg/kg daily), prednisone (1 mg/kg daily).","ANCA (cPR3), biopsy (granulomas), chest CT.","Sinusitis, nosebleeds, joint pain, hemoptysis.","Cyclophosphamide (2 milligrams/kg daily), prednisone (1 milligrams/kg daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Foot Drop,"Anklefoot orthosis, gabapentin (300 mg 3x daily), treat cause.","EMG, nerve conduction studies, MRI spine.","Difficulty lifting foot, dragging toes, leg weakness.","Anklefoot orthosis, gabapentin (300 milligrams 3 times a day), treat cause. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dilated Cardiomyopathy,"Carvedilol (25 mg twice daily), furosemide (40 mg daily), ICD if severe.","Echocardiogram (dilated LV), BNP, ECG.","Fatigue, edema, dyspnea, palpitations.","Carvedilol (25 milligrams twice daily), furosemide (40 milligrams daily), ICD if severe. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Upper Respiratory Infection (URI),"Decongestants (pseudoephedrine 60 mg), fluids, rest.","Clinical exam, rule out strep (rapid test).","Nasal congestion, sore throat, cough, mild fever.","Decongestants (pseudoephedrine 60 milligrams), fluids, rest. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Periodontitis,"Scaling/root planing, doxycycline (100 mg daily), oral hygiene.","Periodontal probing, dental Xrays (bone loss).","Gum bleeding, tooth mobility, bad breath, recession.","Scaling/root planing, doxycycline (100 milligrams daily), oral hygiene. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Kidney (Renal) Failure,"Dialysis, lisinopril (5 mg daily), treat underlying cause.","Serum creatinine (>1.5 mg/dL), GFR (<15 mL/min), ultrasound.","Fatigue, swelling, oliguria, nausea.","Dialysis, lisinopril (5 milligrams daily), treat underlying cause. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tonsillitis,"Penicillin (500 mg twice daily), ibuprofen (400 mg), tonsillectomy if recurrent.","Throat swab (strep), clinical exam (Centor criteria).","Sore throat, difficulty swallowing, fever, tonsil swelling.","Penicillin (500 milligrams twice daily), ibuprofen (400 milligrams), tonsillectomy if recurrent. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ulcerative Colitis,"Mesalamine (2.4 g daily), infliximab (5 mg/kg IV), steroids.","Colonoscopy (mucosal ulcers), fecal calprotectin.","Bloody diarrhea, abdominal pain, urgency, fatigue.","Mesalamine (2.4 g daily), infliximab (5 milligrams/kg intravenous), steroids. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Peritonitis,"Vancomycin (1 g IV), ceftazidime (1 g IV), surgery if perforated.","Peritoneal fluid analysis (WBC >250), CT abdomen.","Severe abdominal pain, fever, nausea, rigidity.","Vancomycin (1 g intravenous), ceftazidime (1 g intravenous), surgery if perforated. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Seborrheic Dermatitis,"Ketoconazole shampoo (2%), selenium sulfide (2.5%), hydrocortisone.","Clinical exam, rule out psoriasis, skin scraping.","Greasy scalp, red flaky skin, itching, dandruff.","Ketoconazole shampoo (2%), selenium sulfide (2.5%), hydrocortisone. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Molluscum Contagiosum,"Cryotherapy, cantharidin (0.7% topical), resolves naturally.","Visual inspection, biopsy if uncertain.","Small, pearly bumps, painless, central dimple.","Cryotherapy, cantharidin (0.7% topical), resolves naturally. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hashimoto’s Thyroiditis,"Levothyroxine (50100 mcg daily), monitor TSH.","TSH (>4.5 mIU/L), antiTPO antibodies, ultrasound.","Fatigue, weight gain, cold intolerance, goiter.","Levothyroxine (50100 micrograms daily), monitor TSH. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ocular Tuberculosis,"Rifampin (600 mg daily), ethambutol (15 mg/kg daily), steroids.","Fundoscopy (choroidal granulomas), TB PCR, chest Xray.","Eye redness, vision loss, floaters, pain.","Rifampin (600 milligrams daily), ethambutol (15 milligrams/kg daily), steroids. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Retinitis Pigmentosa,"Vitamin A (15,000 IU daily), supportive care, no cure.","Electroretinogram, fundus exam, genetic testing.","Night blindness, tunnel vision, retinal pigmentation.","Vitamin A (15,000 IU daily), supportive care, no cure. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pneumonitis,"Prednisone (40 mg daily), oxygen, remove trigger (e.g., dust).","Chest CT (groundglass), PFTs, biopsy if needed.","Dry cough, dyspnea, fatigue, fever (hypersensitivity).","Prednisone (40 milligrams daily), oxygen, remove trigger (e.g., dust). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Rheumatic Fever,"Penicillin (1.2 million units IM), aspirin (100 mg/kg daily), rest.","Jones criteria, ASO titers, echocardiogram.","Joint pain, fever, rash, heart murmur.","Penicillin (1.2 million units IM), aspirin (100 milligrams/kg daily), rest. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Parainfluenza,"Supportive care, dexamethasone (0.6 mg/kg), humidified air.","Viral PCR (parainfluenza), clinical symptoms (croup).","Barking cough, hoarseness, fever, runny nose.","Supportive care, dexamethasone (0.6 milligrams/kg), humidified air. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Viral Pneumonia,"Oseltamivir (75 mg twice daily if flu), oxygen, rest.","Chest Xray (diffuse infiltrates), viral PCR (e.g., influenza).","Fever, cough, chest pain, shortness of breath.","Oseltamivir (75 milligrams twice daily if flu), oxygen, rest. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Heartburn,"Ranitidine (150 mg twice daily), PPI (omeprazole 20 mg), diet changes.","Clinical history, endoscopy if chronic, pH monitoring.","Burning chest, sour taste, regurgitation, discomfort.","Ranitidine (150 milligrams twice daily), PPI (omeprazole 20 milligrams), diet changes. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Heart Transplant (PostProcedure Context),"Tacrolimus (0.1 mg/kg daily), prednisone (5 mg daily), monitor.","Biopsy (rejection grade), echocardiogram, immunosuppression levels.","Fatigue, swelling (if rejection), fever (infection risk).","Tacrolimus (0.1 milligrams/kg daily), prednisone (5 milligrams daily), monitor. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Heart Failure,"Furosemide (40 mg daily), enalapril (10 mg daily), betablockers.","BNP (>400 pg/mL), echocardiogram (low EF), ECG.","Breathlessness, swollen legs, fatigue, rapid heartbeat.","Furosemide (40 milligrams daily), enalapril (10 milligrams daily), betablockers. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Social Anxiety Disorder,"Sertraline (50200 mg daily), CBT, propranolol (20 mg PRN).","DSM5 criteria, GAD7 scale, psychiatric eval.","Fear of social situations, blushing, sweating, avoidance.","Sertraline (50200 milligrams daily), CBT, propranolol (20 milligrams PRN). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Presbyopia,"Reading glasses (+1.5 diopters), bifocals, no drugs.","Refraction test, eye exam (age >40).","Difficulty reading closeup, eye strain, needing brighter light.","Reading glasses (+1.5 diopters), bifocals, no drugs. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Lung Cancer, NonSmall Cell","Lobectomy, nivolumab (240 mg IV every 2 weeks), radiation.","Chest CT (mass), biopsy (adenocarcinoma), PET staging.","Persistent cough, chest pain, weight loss, hemoptysis.","Lobectomy, nivolumab (240 milligrams intravenous every 2 weeks), radiation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Lung Cancer, Small Cell","Etoposide (100 mg/m² IV), cisplatin (80 mg/m² IV), chemotherapy.","Chest CT (central mass), biopsy (small cells), brain MRI.","Cough, dyspnea, fatigue, paraneoplastic symptoms.","Etoposide (100 milligrams/m² intravenous), cisplatin (80 milligrams/m² intravenous), chemotherapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Interstitial Lung Disease,"Pirfenidone (801 mg 3x daily), nintedanib (150 mg twice daily), oxygen.","HRCT (fibrosis), lung biopsy, PFTs (restrictive).","Dry cough, progressive dyspnea, fatigue, clubbing.","Pirfenidone (801 milligrams 3 times a day), nintedanib (150 milligrams twice daily), oxygen. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Labyrinthitis,"Meclizine (25 mg daily), prednisone (60 mg tapering), rest.","Audiometry, DixHallpike test, MRI if central suspected.","Vertigo, hearing loss, nausea, tinnitus.","Meclizine (25 milligrams daily), prednisone (60 milligrams tapering), rest. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Edema,"Furosemide (20 mg daily), elevation, treat underlying cause.","Physical exam, ultrasound (rule out DVT), BNP if cardiac.","Swelling (legs, hands), tightness, weight gain.","Furosemide (20 milligrams daily), elevation, treat underlying cause. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
West Nile Virus,"Supportive care, IV fluids, pain relief (acetaminophen 650 mg).","Serum IgM, CSF PCR (WNV), clinical history.","Fever, headache, rash, muscle weakness (neuroinvasive).","Supportive care, intravenous fluids, pain relief (acetaminophen 650 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Monkeypox,"Tecovirimat (600 mg twice daily), supportive care, isolation.","PCR (monkeypox virus), lesion swab, exposure history.","Rash, fever, lymphadenopathy, muscle aches.","Tecovirimat (600 milligrams twice daily), supportive care, isolation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mononucleosis,"Rest, ibuprofen (400 mg), avoid contact sports.","Monospot test, EBV IgM, CBC (lymphocytosis).","Fatigue, sore throat, swollen glands, fever.","Rest, ibuprofen (400 milligrams), avoid contact sports. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Vaginal Cancer,"Radiation, cisplatin (40 mg/m² IV), surgery (vaginectomy).","Colposcopy with biopsy, pelvic MRI, HPV testing.","Vaginal bleeding, discharge, pelvic pain, mass.","Radiation, cisplatin (40 milligrams/m² intravenous), surgery (vaginectomy). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Heart Rhythm Disorders (Arrhythmias),"Metoprolol (25 mg daily), amiodarone (200 mg daily), ablation.","ECG (e.g., AFib), Holter monitor, EP study.","Palpitations, dizziness, syncope, chest discomfort.","Metoprolol (25 milligrams daily), amiodarone (200 milligrams daily), ablation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Graves’ Disease,"Methimazole (15 mg daily), propranolol (40 mg), radioiodine.","Low TSH (<0.1 mIU/L), high T3/T4, thyroid uptake scan.","Weight loss, palpitations, bulging eyes, heat intolerance.","Methimazole (15 milligrams daily), propranolol (40 milligrams), radioiodine. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Galactorrhea,"Cabergoline (0.5 mg twice weekly), treat underlying cause.","Prolactin levels (>25 ng/mL), pituitary MRI.","Milky nipple discharge, irregular periods, headache.","Cabergoline (0.5 milligrams twice weekly), treat underlying cause. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dry Mouth,"Pilocarpine (5 mg 3x daily), artificial saliva, hydration.","Salivary flow test, rule out Sjögren’s (antiSSA).","Sticky mouth, thirst, difficulty chewing, sore throat.","Pilocarpine (5 milligrams 3 times a day), artificial saliva, hydration. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Prostatitis,"Ciprofloxacin (500 mg twice daily), tamsulosin (0.4 mg daily).","Urine culture, prostate massage fluid, PSA if chronic.","Pelvic pain, dysuria, urgency, fever (acute).","Ciprofloxacin (500 milligrams twice daily), tamsulosin (0.4 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Sarcoidosis,"Prednisone (2040 mg daily), hydroxychloroquine (200 mg daily).","Chest Xray (hilar nodes), biopsy (noncaseating granulomas).","Cough, skin rash, eye inflammation, fatigue.","Prednisone (2040 milligrams daily), hydroxychloroquine (200 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Coccidioidomycosis, Meningitis","Fluconazole (800 mg daily), amphotericin B (0.7 mg/kg IV).","CSF culture (Coccidioides), antigen test, brain MRI.","Headache, fever, neck stiffness, confusion.","Fluconazole (800 milligrams daily), amphotericin B (0.7 milligrams/kg intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Eating During Cancer Treatment (Contextual),"Ondansetron (8 mg), dietary supplements, small frequent meals.","Nutritional assessment, symptom diary, labs (e.g., albumin).","Nausea, taste changes, appetite loss (cancerrelated).","Ondansetron (8 milligrams), dietary supplements, small frequent meals. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Gastritis,"Pantoprazole (40 mg daily), clarithromycin (500 mg twice daily).","Endoscopy (mucosal inflammation), H. pylori test.","Upper abdominal pain, nausea, bloating, vomiting.","Pantoprazole (40 milligrams daily), clarithromycin (500 milligrams twice daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Alcoholic Hepatitis,"Prednisolone (40 mg daily), abstinence, nutritional support.","Liver function tests (AST >ALT), ultrasound, biopsy.","Jaundice, abdominal pain, fever, ascites.","Prednisolone (40 milligrams daily), abstinence, nutritional support. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
ObsessiveCompulsive Disorder (OCD),"Fluoxetine (2060 mg daily), ERP therapy, clomipramine (50 mg).","YBOCS scale, DSM5 criteria, psych evaluation.","Obsessions, compulsions, anxiety, repetitive behaviors.","Fluoxetine (2060 milligrams daily), ERP therapy, clomipramine (50 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Synovial Sarcoma,"Surgery, ifosfamide (9 g/m² IV), radiotherapy.","MRI (mass), biopsy (SYTSSX), PET staging.","Soft tissue mass, pain, swelling, limited mobility.","Surgery, ifosfamide (9 g/m² intravenous), radiotherapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Diabetic Neuropathy,"Gabapentin (300 mg 3x daily), duloxetine (60 mg daily), glucose control.","Monofilament test, nerve conduction studies, HbA1c.","Tingling, burning feet, numbness, pain at night.","Gabapentin (300 milligrams 3 times a day), duloxetine (60 milligrams daily), glucose control. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Lumbar Spinal Stenosis,"Pregabalin (75 mg twice daily), physical therapy, laminectomy.","MRI (canal narrowing), Xray, physical exam.","Back pain, leg numbness, weakness, claudication.","Pregabalin (75 milligrams twice daily), physical therapy, laminectomy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Restless Leg Syndrome,"Ropinirole (0.5 mg nightly), iron (325 mg if deficient).","Clinical history, ferritin levels (<50 ng/mL), PSG.","Leg discomfort, urge to move, worse at night, twitching.","Ropinirole (0.5 milligrams nightly), iron (325 milligrams if deficient). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Male Infertility,"Clomiphene (25 mg daily), surgery (varicocele), IVF.","Semen analysis, hormone levels (FSH, testosterone), ultrasound.","Inability to conceive, low libido, abnormal semen.","Clomiphene (25 milligrams daily), surgery (varicocele), intravenousF. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
PraderWilli Syndrome,"Growth hormone (0.24 mg/kg weekly), strict diet, support.","Methylation test (15q11q13), clinical features.","Obesity, hypotonia, intellectual delay, insatiable hunger.","Growth hormone (0.24 milligrams/kg weekly), strict diet, support. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Deep Venous Thrombosis,"Apixaban (10 mg twice daily for 7 days), compression stockings.","Doppler ultrasound, Ddimer (>500 ng/mL), Wells score.","Leg swelling, pain, redness, warmth.","Apixaban (10 milligrams twice daily for 7 days), compression stockings. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
BingeEating Disorder,"Vyvanse (3070 mg daily), CBT, nutritional counseling.","DSM5 criteria, eating behavior assessment.","Overeating episodes, guilt, weight fluctuation, distress.","Vyvanse (3070 milligrams daily), CBT, nutritional counseling. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Alcohol Hepatitis (Duplicate, Variation)","Pentoxifylline (400 mg 3x daily), abstinence, vitamin B.","Elevated AST/ALT, ultrasound (fatty liver), history.","Jaundice, tender liver, nausea, fever.","Pentoxifylline (400 milligrams 3 times a day), abstinence, vitamin B. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Burkitt’s Lymphoma,"Cyclophosphamide (600 mg/m² IV), rituximab (375 mg/m² IV).","Biopsy (starry sky), PETCT, bone marrow exam.","Rapid lymph node growth, jaw swelling, fever, weight loss.","Cyclophosphamide (600 milligrams/m² intravenous), rituximab (375 milligrams/m² intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Vitamin D Deficiency (Entry 1),"Cholecalciferol (50,000 IU weekly), calcium (1000 mg daily).","Serum 25OH vitamin D (<20 ng/mL), Xray if severe.","Fatigue, bone pain, muscle weakness, mood changes.","Cholecalciferol (50,000 IU weekly), calcium (1000 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Viral Meningitis (Duplicate, Variation)","IV fluids, acyclovir (10 mg/kg IV if suspected), rest.","CSF analysis (lymphocytes), viral PCR (e.g., enterovirus).","Headache, fever, neck stiffness, nausea.","intravenous fluids, acyclovir (10 milligrams/kg intravenous if suspected), rest. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Coronary Artery Disease,"Atorvastatin (40 mg daily), nitroglycerin (0.4 mg SL), stenting.","ECG (ST changes), coronary angiography, stress test.","Chest pain, dyspnea, fatigue, nausea.","Atorvastatin (40 milligrams daily), nitroglycerin (0.4 milligrams SL), stenting. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mitral Valve Stenosis,"Balloon valvuloplasty, diuretics (furosemide 20 mg), betablockers.","Echocardiogram (valve area <1.5 cm²), ECG (LAE).","Dyspnea, fatigue, palpitations, heart murmur.","Balloon valvuloplasty, diuretics (furosemide 20 milligrams), betablockers. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mitral Valve Regurgitation,"Mitral valve repair, lisinopril (10 mg daily), diuretics.","Echocardiogram (regurgitant jet), cardiac MRI.","Shortness of breath, fatigue, murmur, edema.","Mitral valve repair, lisinopril (10 milligrams daily), diuretics. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Kaposi Sarcoma,"ART (e.g., tenofovir), liposomal doxorubicin (20 mg/m² IV).","Skin biopsy (spindle cells), HHV8 testing, staging.","Purple skin lesions, swelling, pain (HIVrelated).","ART (e.g., tenofovir), liposomal doxorubicin (20 milligrams/m² intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Wilms Tumor,"Nephrectomy, vincristine (1.5 mg/m² IV), actinomycin D.","Ultrasound (renal mass), CT, biopsy (nephroblastoma).","Abdominal mass, fever, hematuria, pain.","Nephrectomy, vincristine (1.5 milligrams/m² intravenous), actinomycin D. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hyperglycemia,"Insulin (0.1 units/kg IV if acute), metformin (500 mg), hydration.","Blood glucose (>200 mg/dL random), HbA1c (>6.5%).","Thirst, frequent urination, fatigue, blurred vision.","Insulin (0.1 units/kg intravenous if acute), metformin (500 milligrams), hydration. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Herpes Zoster Meningitis,"Acyclovir (10 mg/kg IV every 8 hours), prednisone (60 mg daily).","CSF PCR (VZV), MRI (meningeal enhancement).","Rash, headache, fever, neck stiffness.","Acyclovir (10 milligrams/kg intravenous every 8 hours), prednisone (60 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dislocated Shoulder,"Reduction, sling, ibuprofen (400 mg), physical therapy.","Xray (humeral head displacement), physical exam.","Severe shoulder pain, deformity, limited motion.","Reduction, sling, ibuprofen (400 milligrams), physical therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bone Metastasis,"Zoledronic acid (4 mg IV monthly), denosumab (120 mg SC), analgesics.","Bone scan, Xray (lytic lesions), tumor markers.","Bone pain, fractures, hypercalcemia, weakness.","Zoledronic acid (4 milligrams intravenous monthly), denosumab (120 milligrams SC), analgesics. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tapeworm Infection,"Praziquantel (10 mg/kg single dose), albendazole (400 mg daily).","Stool ova/parasite exam, Taenia serology.","Abdominal discomfort, nausea, visible segments in stool.","Praziquantel (10 milligrams/kg single dose), albendazole (400 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HospitalAcquired Pneumonia,"Piperacillintazobactam (4.5 g IV), vancomycin (15 mg/kg IV).","Chest Xray (infiltrates), sputum culture, BAL.","Fever, purulent sputum, dyspnea, chest pain.","Piperacillintazobactam (4.5 g intravenous), vancomycin (15 milligrams/kg intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Knee Bursitis,"Rest, naproxen (500 mg twice daily), aspiration/injection.","Physical exam, ultrasound, aspiration if infected.","Knee swelling, pain, warmth, stiffness.","Rest, naproxen (500 milligrams twice daily), aspiration/injection. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hypocalcemia,"Calcium gluconate (10% IV), vitamin D (800 IU daily).","Serum calcium (<8.5 mg/dL), PTH levels, ECG (QT prolongation).","Muscle cramps, tingling, tetany, confusion.","Calcium gluconate (10% intravenous), vitamin D (800 IU daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
CrimeanCongo Haemorrhagic Fever,"Ribavirin (30 mg/kg IV loading), supportive care, isolation.","RTPCR (CCHF virus), serology, tick exposure history.","Fever, bleeding, muscle pain, liver enlargement.","Ribavirin (30 milligrams/kg intravenous loading), supportive care, isolation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Vitamin D Deficiency (Entry 2),"Ergocalciferol (50,000 IU weekly), calcium (1200 mg daily).","25OH vitamin D (<15 ng/mL), bone density scan.","Bone tenderness, weakness, fatigue, low mood.","Ergocalciferol (50,000 IU weekly), calcium (1200 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hodgkin Lymphoma,"ABVD regimen (doxorubicin 25 mg/m² IV), radiation.","Biopsy (ReedSternberg cells), PETCT staging.","Painless lymphadenopathy, fever, night sweats, weight loss.","ABVD regimen (doxorubicin 25 milligrams/m² intravenous), radiation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Microscopic (Lymphocytic) Colitis,"Budesonide (9 mg daily), loperamide (2 mg PRN), hydration.","Colonoscopy with biopsy (lymphocytic infiltrate), fecal tests.","Chronic watery diarrhea, abdominal pain, fatigue.","Budesonide (9 milligrams daily), loperamide (2 milligrams PRN), hydration. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Whiteheads,"Salicylic acid (2% topical), benzoyl peroxide (2.5%), cleansing.","Visual inspection, dermatology exam.","Small white bumps, clogged pores, mild inflammation.","Salicylic acid (2% topical), benzoyl peroxide (2.5%), cleansing. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Whipworm Infection,"Mebendazole (100 mg twice daily for 3 days), iron supplements.","Stool microscopy (Trichuris eggs), eosinophil count.","Diarrhea, abdominal pain, rectal prolapse, anemia.","Mebendazole (100 milligrams twice daily for 3 days), iron supplements. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hypernatremia,"Includes medications (with dosages), procedures, and supportive care, ensuring plausibility.",Incorporates realistic diagnostic methods suited to each condition.,"Reflect typical clinical presentations with slight variations where duplicates occur (e.g., Vitamin D Deficiency).","Includes medications (with dosages), procedures, and supportive care, ensuring plausibility. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Viral Pneumonia,"Oseltamivir (75 mg twice daily if flu), oxygen, supportive care.","Chest Xray (diffuse infiltrates), viral PCR (e.g., influenza).","Fever, dry cough, fatigue, shortness of breath.","Oseltamivir (75 milligrams twice daily if flu), oxygen, supportive care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Vitamin D Deficiency (Entry 1),"Cholecalciferol (50,000 IU weekly), calcium (1000 mg daily).","Serum 25OH vitamin D (<20 ng/mL), bone density scan.","Bone pain, muscle weakness, fatigue, low mood.","Cholecalciferol (50,000 IU weekly), calcium (1000 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Shoulder Bursitis,"Rest, ibuprofen (400 mg), corticosteroid injection (40 mg triamcinolone).","Physical exam, ultrasound, rule out rotator cuff injury.","Shoulder pain, swelling, limited motion, tenderness.","Rest, ibuprofen (400 milligrams), corticosteroid injection (40 milligrams triamcinolone). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chest Pain (NonSpecific),"Nitroglycerin (0.4 mg SL if cardiac), treat underlying cause.","ECG, troponin levels, chest Xray, rule out cardiac/GI causes.","Tightness, burning, radiating pain, shortness of breath.","Nitroglycerin (0.4 milligrams SL if cardiac), treat underlying cause. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
